tweet_id,tweet_created_at,tweet_text,tweet_lang,tweet_source,tweet_reply_settings,tweet_conversation_id,tweet_in_response_to_user,tweet_username,tweet_user_tweet_count,tweet_user_description,tweet_user_location,tweet_user_created_at,tweet_user_pinned_tweet,tweet_user_profile_url,tweet_user_verified,tweet_user_listed_count,tweet_user_following_count,tweet_user_followers_count,tweet_reply_count,tweet_like_count,tweet_quote_count,tweet_reply_count,tweet_reference_type,tweet_reference_id,tweet_clean_text,tweet_sentiment_all,tweet_sentiment_compound,tweet_hashtags,tweet_annotations,tweet_urls,tweet_mentions,tweet_user_id,tweet_context_annotations,tweet_annotations,domain_ids,entity_ids
1481504721613561858,2022-01-13 05:53:45+00:00,The Oldies https://t.co/QN0zw4qTxh,en,Twitter for iPhone,everyone,1481504721613561858,,NickBSchroer,10255,Husband. Father of two girls! Constitutional Conservative. Defender of Liberty. The People's Advocate. Missouri State Representative for House District 107,"O'Fallon, MO",2015-12-24 16:28:13+00:00,1466258632627130373,https://pbs.twimg.com/profile_images/1457192469263683587/ReVghQJZ_normal.jpg,False,79,1363,3566,1,0,0,1,quoted,1481504295631654914,The Oldies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,['https://twitter.com/rayreedmo/status/1481504295631654914'],,4591016128,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}]",,"['description: American politician serving in the Missouri House of Representatives 35', '10']",['1070735163343036416']
1481469199922999301,2022-01-13 03:32:36+00:00,RT @samuelhlee: Debate over defunding Planned Parenthood  Missouris last outpatient abortion provider  was heard in committee at the Sta,en,Twitter for Android,everyone,1481469199922999301,,NickBSchroer,10255,Husband. Father of two girls! Constitutional Conservative. Defender of Liberty. The People's Advocate. Missouri State Representative for House District 107,"O'Fallon, MO",2015-12-24 16:28:13+00:00,1466258632627130373,https://pbs.twimg.com/profile_images/1457192469263683587/ReVghQJZ_normal.jpg,False,79,1363,3566,0,0,0,0,retweeted,1481468557925957634,: Debate over defunding Planned Parenthood – Missouri’s last outpatient abortion provider – was heard in committee at the Sta…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,"['Organization', 'Planned Parenthood', 'Place', 'Missouri']",,,4591016128,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044152988', 'name': 'Planned Parenthood'}}]","['Organization', 'Planned Parenthood', 'Place', 'Missouri']","['10', 'description: American politician serving in the Missouri House of Representatives 45', 'name: Non-profit 47', 'name: Government/Education 46', 'description: American politician serving in the Missouri House of Representatives 35']","['781974596157251587', '781974597226729473', '10044152988', '1070735163343036416']"
1481452543154786304,2022-01-13 02:26:25+00:00,https://t.co/EereHwYEWM https://t.co/olRvVsvtgo,und,Twitter for iPhone,everyone,1481452543154786304,,NickBSchroer,10255,Husband. Father of two girls! Constitutional Conservative. Defender of Liberty. The People's Advocate. Missouri State Representative for House District 107,"O'Fallon, MO",2015-12-24 16:28:13+00:00,1466258632627130373,https://pbs.twimg.com/profile_images/1457192469263683587/ReVghQJZ_normal.jpg,False,79,1363,3566,0,0,0,0,quoted,1481451987279482886,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,"['https://twitter.com/NickBSchroer/status/1481452543154786304/photo/1', 'https://twitter.com/cindywinkler/status/1481451987279482886']",,4591016128,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}]",,"['description: American politician serving in the Missouri House of Representatives 35', '10']",['1070735163343036416']
1481451669711986689,2022-01-13 02:22:56+00:00,#TheAlamo https://t.co/8WGeKPO67t,und,Twitter for iPhone,everyone,1481451669711986689,,NickBSchroer,10255,Husband. Father of two girls! Constitutional Conservative. Defender of Liberty. The People's Advocate. Missouri State Representative for House District 107,"O'Fallon, MO",2015-12-24 16:28:13+00:00,1466258632627130373,https://pbs.twimg.com/profile_images/1457192469263683587/ReVghQJZ_normal.jpg,False,79,1363,3566,4,7,0,4,quoted,1481450224732278793,#TheAlamo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,['TheAlamo'],,['https://twitter.com/meaccoleman/status/1481450224732278793'],,4591016128,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}]",,"['description: American politician serving in the Missouri House of Representatives 35', '10']",['1070735163343036416']
1481416724545167363,2022-01-13 00:04:05+00:00,RT @conservmillen: The number of nurses messaging me that their hospital is forcing COVID+ staff to come to work after firing unvaccinated,en,Twitter for iPhone,everyone,1481416724545167363,,NickBSchroer,10255,Husband. Father of two girls! Constitutional Conservative. Defender of Liberty. The People's Advocate. Missouri State Representative for House District 107,"O'Fallon, MO",2015-12-24 16:28:13+00:00,1466258632627130373,https://pbs.twimg.com/profile_images/1457192469263683587/ReVghQJZ_normal.jpg,False,79,1363,3566,0,0,0,0,retweeted,1481046195674001412,: The number of nurses messaging me that their hospital is forcing COVID+ staff to come to work after firing unvaccinated…,"{'neg': 0.111, 'neu': 0.829, 'pos': 0.06, 'compound': -0.2732}",-0.2732,,,,,4591016128,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",,"['description: American politician serving in the Missouri House of Representatives 123', 'description: American politician serving in the Missouri House of Representatives 35', '10']","['1220701888179359745', '1070735163343036416']"
1481378801737080837,2022-01-12 21:33:23+00:00,"@Missouri_Mapper @jrosenbaum Ray, Carroll, and Chariton were added to CD6, while a portion of Jackson was added to CD4 in the HCS.
https://t.co/QZ4lDNW88C",en,Twitter Web App,everyone,1481279503561199621,1231307565973278722,JoshHurlbert,1163,"Husband, Rose and JJ's dad. State Representative #HD12 #MOLeg #Northland Campaign/Personal account.","Smithville, MO",2009-05-19 22:02:11+00:00,,https://pbs.twimg.com/profile_images/1127390486598172677/y8FL3fBh_normal.jpg,False,16,341,366,0,0,0,0,replied_to,1481336848295288834,"Ray, Carroll, and Chariton were added to CD6, while a portion of Jackson was added to CD4 in the HCS.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,"['Person', 'Ray', 'Person', 'Carroll', 'Person', 'Chariton', 'Person', 'Jackson']",['https://davesredistricting.org/join/0aeac0d8-68cd-46d3-9868-3b177eec9186'],,41223092,[],"['Person', 'Ray', 'Person', 'Carroll', 'Person', 'Chariton', 'Person', 'Jackson']",[],[]
1481324751297601541,2022-01-12 17:58:37+00:00,"RT @NickBSchroer: As the fastest growing county in terms of population and economic development, our community of interest and the growth o",en,Twitter for Android,everyone,1481324751297601541,,tonylovasco,3778,"MO State Representative - District 64

https://t.co/x0mlS5BnrY","O'Fallon, MO",2013-11-14 04:38:51+00:00,1468402714245844992,https://pbs.twimg.com/profile_images/1208041109928185856/qg3i_Z-g_normal.jpg,False,44,981,2118,0,0,0,0,retweeted,1481317835024568326,": As the fastest growing county in terms of population and economic development, our community of interest and the growth o…","{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.743}",0.743,,,,,2193520886,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}]",,"['description: American politician serving in the Missouri House of Representatives 35', '10']",['1070735163343036416']
1481319256209903623,2022-01-12 17:36:46+00:00,RT @EmilyManleyTV: Nine Senate and House members have signed off on a letter to the chair of the Special Committee on Redistricting @dansha,en,Twitter for Android,everyone,1481319256209903623,,NickBSchroer,10255,Husband. Father of two girls! Constitutional Conservative. Defender of Liberty. The People's Advocate. Missouri State Representative for House District 107,"O'Fallon, MO",2015-12-24 16:28:13+00:00,1466258632627130373,https://pbs.twimg.com/profile_images/1457192469263683587/ReVghQJZ_normal.jpg,False,79,1363,3566,0,0,0,0,retweeted,1481319173099859978,: Nine Senate and House members have signed off on a letter to the chair of the Special Committee on Redistricting …,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.4019,,"['Organization', 'Nine Senate and House']",,,4591016128,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}]","['Organization', 'Nine Senate and House']","['description: American politician serving in the Missouri House of Representatives 35', '10', 'description: American politician serving in the Missouri House of Representatives 88']","['1070735163343036416', '961705302700654593']"
1481317835024568326,2022-01-12 17:31:08+00:00,"As the fastest growing county in terms of population and economic development, our community of interest and the growth of MO are best served keeping St. Charles County together in one Congressional district #moleg https://t.co/Hkz2GZxGzz",en,Twitter Web App,everyone,1481317835024568326,,NickBSchroer,10255,Husband. Father of two girls! Constitutional Conservative. Defender of Liberty. The People's Advocate. Missouri State Representative for House District 107,"O'Fallon, MO",2015-12-24 16:28:13+00:00,1466258632627130373,https://pbs.twimg.com/profile_images/1457192469263683587/ReVghQJZ_normal.jpg,False,79,1363,3566,17,27,8,17,,,"As the fastest growing county in terms of population and economic development, our community of interest and the growth of MO are best served keeping St. Charles County together in one Congressional district #moleg","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.8885}",0.8885,['moleg'],"['Place', 'MO', 'Place', 'St. Charles County']","['https://twitter.com/NickBSchroer/status/1481317835024568326/photo/1', 'https://twitter.com/NickBSchroer/status/1481317835024568326/photo/1']",,4591016128,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735163343036416', 'name': 'Nick Schroer', 'description': 'American politician serving in the Missouri House of Representatives'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}]","['Place', 'MO', 'Place', 'St. Charles County']","['description: American politician serving in the Missouri House of Representatives 35', '10', 'description: American politician serving in the Missouri House of Representatives 88']","['1070735163343036416', '961705302700654593']"
1481309932939104264,2022-01-12 16:59:44+00:00,"RT @Dave_Matter: Mizzou announces changes for 2022 football season tickets, which are now on sale:
* All prices either stay same or decreas",en,Twitter for iPhone,everyone,1481309932939104264,,rogers4missouri,2207,"State Rep for Missouri's 18th district.  Lifelong Northlander, small business owner & advocate, former prosecutor. Missouri Tiger & Democrat.","Kansas City, MO",2018-06-07 20:02:41+00:00,,https://pbs.twimg.com/profile_images/1347862981682614274/AWIGVkL1_normal.jpg,False,46,192,2115,0,0,0,0,retweeted,1481288400841887746,": Mizzou announces changes for 2022 football season tickets, which are now on sale: * All prices either stay same or decreas…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,"['Organization', 'Mizzou']",,,1004815933670678529,"[{'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '898300588361830401', 'name': 'Missouri Tigers'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '892080380425125890', 'name': 'NCAA Football', 'description': ""NCAA Men's Football""}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '898300522293207040', 'name': 'SEC football'}}]","['Organization', 'Mizzou']","['12', 'name: Missouri Tigers 26', 'description: NCAA Mens Football 26']","['898300588361830401', '892080380425125890', '898300522293207040']"
